FSC-H	SSC-H	FL1-H	FL2-H	FL3-H	FL1-A	FL4-H	Time
382	77	260.868888272656	1	7.58167905181949	55	13.1304487795084	1
628	280	9.07751059369505	48.4439438066395	10.2969290997292	0	28.2250932954118	1
1023	735	540.92596673122	56.4560715635018	6.92890667091885	143	312.337159180088	1
373	128	6.16359113838741	24.2194470084959	2.33102232035676	0	3.82472483198952	1
1023	1023	260.868888272656	796.655891534698	39.3829204209698	61	2432.87198300783	1
489	292	5.01074438281462	28.9978361376688	4.00083404924448	0	26.2636352765333	1
869	453	555.735365751008	5.94557070854439	4.96583379626039	133	13.9846000022126	1
422	136	229.975371678800	8.91551895259033	2.07355491991768	48	5.83946973003931	1
430	131	185.284754836759	5.48280667145571	4.96583379626039	37	22.3343648821325	1
364	129	221.840612532554	5.94557070854439	1.91216307161501	45	1	1
389	125	147.940804663522	10.6745111719027	4.37775267319924	28	13.7350394777529	1
385	114	172.408685151293	27.7214057330493	4.03701725859655	34	11.2670029142036	1
679	361	13.1304487795084	61.7747987453065	15.8632075638527	0	15.3020893368145	1
755	759	76.674858189771	370.60814181225	21.1598798071781	11	394.716639761467	1
170	70	3.28192787251147	11.3689007485545	1.5685682545882	0	4.00083404924448	1
361	145	149.278768958209	4.92132573688188	1.73186555244082	29	4.79018080525539	2
446	141	8.29594912658505	30.6073691813353	16.8951279775572	0	53.9709810923747	2
200	163	210.174801133249	124.679966364121	10.7710505603677	44	5.10178773206268	2
398	172	158.989529433390	23.3627493254737	13.1304487795084	32	17.2021061268172	2
944	793	104.134661084393	293.260234107692	15.8632075638527	22	424.195427069203	2
502	226	223.846920524153	4.79018080525539	1	45	11.7857913633579	2
317	94	141.428727684403	19.3380425826139	10.3900536674351	27	4.70469820054539	2
631	593	67.5946032789538	240.564573379150	5.48280667145571	8	227.914135254419	2
1023	966	455.875790934897	536.077724515626	1	125	734.649447644077	2
451	175	323.790371165697	9.93270297603254	8.22159371891811	70	9.75545010046874	2
888	655	251.641354213874	114.975699539774	11.6801569979431	56	540.92596673122	2
391	103	180.34723234716	1	7.58167905181949	34	1	2
458	200	242.740219310506	20.7822736760518	1.48608281057475	50	11.4717201384178	2
416	121	221.840612532554	7.58167905181949	4.79018080525539	45	19.8674769349675	2
446	1023	12.4399650249727	208.291034395878	9.3260334688322	0	27.2267066674767	2
1023	872	45.0774088920826	82.4011985786459	23.5740400812209	4	172.408685151293	3
451	213	290.631784496097	4.92132573688188	1	63	24.4384856666141	3
380	177	7.11860535423515	1.49952281952981	4.29963000591481	0	4.96583379626039	3
234	295	6.33233711505923	90.1642164889617	1.20812379151953	0	42.7069477555888	3
473	211	9.3260334688322	26.5011614028011	9.41037733745403	0	1.62608669005344	3
498	380	9.41037733745403	16.1514361055807	8.91551895259033	0	3.82472483198952	3
786	664	83.1464281438652	208.291034395878	27.2267066674767	14	521.792168084925	3
365	107	225.871373397841	4.96583379626039	1.00904391657007	46	12.4399650249727	3
474	245	10.6745111719027	17.2021061268172	8.75641811414753	0	12.6659945315439	3
401	277	9.49548400498688	19.6894075755402	1	0	3.59111833689962	3
1023	462	636.090722830463	36.64606693184	1.33389667392330	155	4.79018080525539	3
1023	907	394.716639761467	120.269748481527	24.2194470084959	117	1593.47788697228	3
970	901	306.763383366627	212.07560449983	19.1647184677031	74	494.352967692256	3
482	220	6.38960624362141	21.7391921762420	5.48280667145571	0	48.0097476543037	3
126	106	41.1963045448529	105.076446271293	6.21933414241503	4	14.1110755578985	3
361	258	7.65024712462523	11.6801569979431	2.16903162737324	0	12.7805447293642	4
341	145	6.33233711505923	14.1110755578985	8.07487624111656	0	11.5754694182649	4
475	152	8.91551895259033	20.5960051240332	18.6540114290992	0	11.1660183755948	4
919	776	370.60814181225	213.993598573474	5.14792787466969	87	591.886608570447	4
92	54	2.39484073875291	1	1.84452545493290	0	11.6801569979431	4
639	402	351.119173421513	48.8820667927521	7.31349758281927	74	68.2059232315959	4
379	122	10.2969290997292	4.53828217765635	6.62390918408767	0	9.93270297603254	4
313	166	5.63291422173031	138.904878060602	23.3627493254737	0	10.5788370521942	4
281	70	180.34723234716	1	1.24119964365884	36	3.22336061703234	4
257	118	166.310192437971	26.9826775825826	6.27558128152045	33	1.42066823018350	4
119	87	1	1.44648123998097	1.35813307703366	0	10.0225335130631	4
455	130	190.35745615898	27.7214057330493	3.9649751448322	39	7.11860535423515	4
774	318	7.78924925037525	20.4114060704541	5.01074438281462	0	10.2969290997292	4
403	203	213.993598573474	1	1.74752840000768	43	12.6659945315439	4
334	113	215.928938825503	1.82799323661034	1.59706855245047	43	13.3690241173597	4
300	94	172.408685151293	7.11860535423515	1	34	24.8825238006028	5
410	272	4.33851550097049	23.787241732935	3.19447009599854	0	8.677935588683	5
352	117	145.300744540603	2.76590801087549	2.86733216054892	28	17.5146619541065	5
406	177	156.152300600050	20.0471567388252	2.71654932677353	30	11.5754694182649	5
661	407	7.71943532136078	65.7933224657568	17.9941760346424	0	83.898397503098	5
408	119	6.74426313375284	25.3346299412235	6.6838152661163	0	13.2491994627979	5
415	190	192.079033110973	10.2046391942289	3.28192787251147	39	7.4463810954848	5
359	239	272.880580025124	160.427417473101	1	63	7.05480231071864	5
388	237	4.03701725859655	14.8943147721724	1.71634308874063	0	8.75641811414753	5
684	562	64.0400427119728	96.8979882454628	12.7805447293642	7	354.294665932091	5
517	183	192.079033110973	20.0471567388252	10.113176469976	37	11.7857913633579	5
678	551	34.0994067280454	150.628833690350	12.3284673944207	1	163.342323579280	5
395	198	227.914135254419	7.18298542715413	6.86680386961895	47	1	5
1023	918	125.807561577878	341.762446707404	26.5011614028011	27	1227.30938923464	5
453	254	2.03655154097020	42.7069477555888	7.71943532136078	0	2.52776704694507	5
662	263	373.95989092699	48.0097476543037	6.16359113838741	89	1.54057655541883	5
201	114	3.46409220134825	116.015530173997	1	0	8.60015649088982	5
387	206	8.29594912658505	31.7297226293716	1.28671367302571	0	20.7822736760518	5
426	185	5.10178773206268	28.2250932954118	2.79092265216635	0	6.50570299658905	5
409	201	6.6838152661163	37.9898557212078	7.78924925037525	0	11.7857913633579	5
806	386	15.7210278991371	43.8761728790409	7.51372554486134	0	108.929535084032	5
381	120	7.85969457073915	20.4114060704541	1.73186555244082	0	10.5788370521942	5
425	221	8.22159371891811	11.5754694182649	1	0	8.37097699835546	5
763	363	455.875790934897	42.7069477555888	2.20844211988575	111	17.9941760346424	5
409	124	2.55062796122623	6.05359950210121	2.26890455389152	0	1.25242494968289	5
487	170	282.886943462597	15.1649388946609	2.43835409826883	63	9.41037733745403	5
457	166	5.68385782799802	14.1110755578985	1	0	3.75647115760237	5
437	182	4.11036835059307	33.4908898004629	2.89326407338761	0	3.65636761244814	5
502	231	329.673520972002	16.5936279705333	5.94557070854439	73	6.27558128152045	5
656	316	447.740513454224	40.0984933387567	2.31012970008316	110	26.5011614028011	5
387	155	172.408685151293	7.71943532136078	10.7710505603677	35	7.51372554486134	6
364	154	221.840612532554	11.2670029142036	3.55893165592484	46	12.4399650249727	6
511	213	301.289073709868	9.8436775772809	1	66	7.51372554486134	6
532	200	304.013906955975	4.45729480009653	1.31009277867662	67	6.62390918408767	6
430	146	173.967934915758	14.8943147721724	7.58167905181949	35	7.78924925037525	6
1023	1023	195.569037221885	391.178850870219	15.0290177123404	40	1062.65664397954	6
414	115	200.923300256505	1.05550528101563	11.3689007485545	40	1	6
656	299	119.191787895958	18.3211234755798	3.37178005637296	22	15.3020893368145	6
416	167	213.993598573474	25.5637542207457	1.47276326250122	43	1.52676858768995	6
1023	963	109.914684711349	268.010921925845	32.0166835936232	23	1131.78371549185	6
377	270	7.51372554486134	7.58167905181949	9.24244556226364	0	91.8024665421147	6
377	163	210.174801133249	8.00250227816105	2.33102232035676	43	7.05480231071864	6
193	140	7.65024712462523	140.161122188958	2.69220128298041	0	13.6119342797693	6
394	152	170.863410719865	5.24146379659874	8.29594912658505	34	8.1479047481549	6
506	323	8.60015649088982	19.5129342263596	6.27558128152045	0	10.6745111719027	6
437	166	5.63291422173031	23.5740400812209	11.4717201384178	0	11.2670029142036	7
595	311	5.19448530487696	51.1328385211324	5.28886715788024	0	83.1464281438652	7
408	153	227.914135254419	8.677935588683	1	47	15.3020893368145	7
428	253	4.49760620239682	30.0611689965592	7.51372554486134	0	55.9500638539167	7
737	268	428.031815121024	51.1328385211324	1.62608669005344	102	8.99615016217647	7
484	242	8.91551895259033	29.5247159625456	1	0	11.6801569979431	7
1023	1023	200.923300256505	517.115419374999	31.1634936189533	51	1152.34780182525	7
870	722	132.790545637149	285.445349378036	12.8961309096167	30	161.878309652280	7
501	198	270.434790343611	10.113176469976	1.18656436136235	59	4.07352770587525	7
233	101	193.816179861290	34.7189801803534	9.24244556226364	40	7.71943532136078	7
784	769	101.359650093856	443.727479152916	25.3346299412235	21	550.754389006234	7
640	465	11.6801569979431	51.1328385211324	8.00250227816105	0	7.85969457073915	7
529	207	8.75641811414753	37.3119122464974	1	0	56.9666555645962	7
472	222	6.86680386961895	20.9702268253144	6.99157112477246	0	11.2670029142036	7
172	162	2.57369562770885	62.8972237079901	5.33669923120631	0	52.0619030512431	7
471	242	10.5788370521942	12.7805447293642	3.92943763866084	0	10.113176469976	8
986	514	586.581613397342	30.0611689965592	5.33669923120631	140	5.83946973003931	8
431	182	10.8684630430077	17.6730630955725	17.9941760346424	0	3.82472483198952	8
496	180	217.881782133305	19.5129342263596	1.65563207635131	45	11.6801569979431	8
340	108	6.44739330940435	18.6540114290992	2.89326407338761	0	5.19448530487696	8
377	125	210.174801133249	12.7805447293642	1	43	2.28942433738238	8
439	231	11.4717201384178	26.5011614028011	10.2046391942289	0	8.22159371891811	8
352	107	181.978277670151	7.85969457073915	7.85969457073915	37	12.7805447293642	8
105	404	141.428727684403	4822.63570834044	2.69220128298041	27	46.3115321845825	8
319	119	4.2610930359999	12.3284673944207	1.96451401732681	0	3.55893165592484	8
290	104	3.31160935437947	6.56454003171988	17.2021061268172	0	4.07352770587525	8
409	159	11.2670029142036	31.4453336552752	1.55450940125585	0	7.58167905181949	8
803	1023	64.6192155154038	290.631784496097	9.41037733745403	8	401.888493311026	8
437	855	12.5524710307932	455.875790934897	2.16903162737324	0	46.7303698178921	8
1023	664	301.289073709868	172.408685151293	9.07751059369505	65	591.886608570447	8
328	97	180.34723234716	7.31349758281927	4.92132573688188	35	7.11860535423515	9
473	196	247.150718205448	1	11.7857913633579	51	8.1479047481549	9
612	486	67.5946032789538	253.917177626965	6.92890667091885	10	232.055249753435	9
334	97	1.84452545493290	18.8227167521612	16.0066730895940	0	20.2284615518384	9
162	84	112.923914299385	93.4704829853188	10.8684630430077	22	10.8684630430077	9
1023	1023	840.874500667089	391.178850870219	40.0984933387567	200	1006.77529813686	9
419	213	357.498877332003	9.41037733745403	2.99935829173116	80	10.9667565160136	9
572	300	53.4872468939033	29.7917350304660	13.4899324561004	5	412.891342915142	9
465	208	4.57932602304252	22.1341851582150	6.62390918408767	0	6.33233711505923	9
368	129	195.569037221885	7.85969457073915	1	40	12.5524710307932	9
196	170	2.94583359826773	43.8761728790409	2.91943051228252	0	5.78713139650923	9
408	116	8.29594912658505	18.486818187763	7.18298542715413	0	9.93270297603254	9
889	688	153.365703198109	94.3158222352025	20.5960051240332	31	275.348489224464	9
1020	711	341.762446707404	215.928938825503	18.6540114290992	90	420.393424015796	9
